IATA Code,ISO Code,Airport Name,Latitude,Longitude,CRS easting,CRS northing
VVI,BO,Viru Viru International Airport,17.6460° S,63.1401° W,756245.97,8061026.97
HAV,CU,Jose Marti International Airport,22.9997° N,82.4093° W,319526.13,2551028.67
SDQ,DO,Las Americas International Airport,18.4297° N,69.6689° W,126147.77,2041701.39
PUJ,DO,Punta Cana International Airport,18.5674° N,68.3634° W,193637.36,2060113.93
TFN,ES,Tenerife North Airport,28.4827° N,16.3415° W,322466.97,3165556.44
IKA,IR,Tehran Imam Khomeini International Airport,35.4136° N,51.1481° E,336596.65,3910375.83
MAD,ES,Adolfo Suárez Madrid–Barajas Airport,40.4936° N,3.5668° W,397134.83,4489978.74
CUN,MX,Cancun International Airport,21.0365° N,86.8749° W,207865.13,2325786.04
NLU,MX,Felipe Angeles International Airport, 19.4892° N,99.5667° W,332740.25,2162005.88
CTD,PA,Alonso Valderrama Airport,8.0733° N,80.9453° W,203215.58,892492.29
PTY,PA,Tocumen International Airport,9.0714° N,79.3835° W,225460.04,1004983.85
LIS,PT,Lisbon Portela Airport,38.7742° N,9.1342° W,97747.09,4296944.08
VKO,RU,Vnukovo International Airport,55.6015° N,37.2727° E,4141525.85,7444235.58
SVO,RU,Sheremetyevo International Airport,55.9663° N,37.4166° E,4235157.47,7831821.58
IST,TR,Istanbul Airport,41.2753° N,28.7519° E,3511957.86,5031567.45
VLN,VE,Arturo Michelena International Airport,10.1542° N,67.9266° W,542333.43,1128526.71
PMV,VE,Santiago Mariño Caribbean International Airport,10.9158° N,63.9666° W,725328.13,1210842.29
BLA,VE,General José Antonio Anzoátegui Int'l,10.1111° N,64.6922° W,737581.85,1118508.57
BRM,VE,Barquisimeto International Airport,10.0433° N,69.3586° W,650562.99,1112001.17
CCS,VE,Simon Bolivar International Airport,10.6031° N,66.9906° W,794249.29,1179695.10
MAR,VE,La Chinita International Airport,10.5586° N,71.7254° W,493256.60,1183941.22
PZO,VE,General Manuel Carlos Piar International Airport,8.2867° N,62.7603° W,682002.96,918516.56
