DATE,Source,FROM-ISO-COUNTRY,FROM-CITY,FROM-IATA,TO-ISO-COUNTRY,TO-CITY,TO-IATA,TO-LANDED-ISO-COUNTRY,TO-LANDED-CITY,TO-LANDED-IATA,FLIGHT,STATUS,AIRLINE
5/16/2017,FlightAware,NL,Aruba,AUA,VE,Caracas,CCS,,,,UA1046,Unknown,United
2/15/2012,FlightAware,US,Atlanta,ATL,VE,Caracas,CCS,,,,DL781,Unknown,Delta Ailines
3/21/2023,FlightRadar24,CO,Bogota,BOG,VE,Caracas,CCS,N/A,Canceled,,P57066,Canceled,Wingo
2/14/2023,FlightRadar24,CO,Bogota,BOG,VE,Caracas,CCS,N/A,Canceled,,P57066,Canceled,Wingo
11/26/2022,FlightRadar24,CO,Bogota,BOG,VE,Caracas,CCS,VE,Caracas,CCS,T98821,Landed,Turpial Airlines
11/21/2022,FlightRadar24,CO,Bogota,BOG,VE,Caracas,CCS,VE,Caracas,CCS,T98821,Landed,Turpial Airlines
12/17/2022,FlightRadar24,CO,Bogota,BOG,VE,Caracas,CCS,VE,Caracas,CCS,T98821,Landed,Turpial Airlines
12/5/2022,FlightRadar24,CO,Bogota,BOG,VE,Caracas,CCS,VE,Caracas,CCS,T98821,Landed,Turpial Airlines
3/13/2023,FlightRadar24,CO,Bogota,BOG,VE,Caracas,CCS,VE,Caracas,CCS,T98821,Landed,Turpial Airlines
2/27/2023,FlightRadar24,CO,Bogota,BOG,VE,Caracas,CCS,VE,Caracas,CCS,T98821,Landed,Turpial Airlines
3/16/2023,FlightRadar24,CO,Bogota,BOG,VE,Caracas,CCS,VE,Caracas,CCS,T98821,Landed,Turpial Airlines
3/23/2023,FlightRadar24,CO,Bogota,BOG,VE,Caracas,CCS,VE,Caracas,CCS,T98821,Landed,Turpial Airlines
3/4/2023,FlightRadar24,CO,Bogota,BOG,VE,Caracas,CCS,VE,Caracas,CCS,T98821,Landed,Turpial Airlines
2/25/2023,FlightRadar24,CO,Bogota,BOG,VE,Caracas,CCS,VE,Caracas,CCS,T98821,Landed,Turpial Airlines
11/12/2022,FlightRadar24,CO,Bogota,BOG,VE,Caracas,CCS,VE,Caracas,CCS,T98821,Landed,Turpial Airlines
3/11/2023,FlightRadar24,CO,Bogota,BOG,VE,Caracas,CCS,VE,Caracas,CCS,T98821,Landed,Turpial Airlines
2/18/2023,FlightRadar24,CO,Bogota,BOG,VE,Caracas,CCS,VE,Caracas,CCS,T98821,Landed,Turpial Airlines
3/18/2023,FlightRadar24,CO,Bogota,BOG,VE,Caracas,CCS,VE,Caracas,CCS,T98821,Landed,Turpial Airlines
3/30/2023,FlightRadar24,CO,Bogota,BOG,VE,Caracas,CCS,VE,Caracas,CCS,T98821,Landed,Turpial Airlines
1/26/2023,FlightRadar24,CO,Bogota,BOG,VE,Caracas,CCS,VE,Caracas,CCS,T98821,Landed,Turpial Airlines
1/7/2023,FlightRadar24,CO,Bogota,BOG,VE,Caracas,CCS,VE,Caracas,CCS,T98821,Landed,Turpial Airlines
2/11/2023,FlightRadar24,CO,Bogota,BOG,VE,Caracas,CCS,VE,Caracas,CCS,T98821,Landed,Turpial Airlines
4/1/2023,FlightRadar24,CO,Bogota,BOG,VE,Caracas,CCS,VE,Caracas,CCS,T98821,Landed,Turpial Airlines
3/25/2023,FlightRadar24,CO,Bogota,BOG,VE,Caracas,CCS,VE,Caracas,CCS,T98821,Landed,Turpial Airlines
1/28/2023,FlightRadar24,CO,Bogota,BOG,VE,Caracas,CCS,VE,Caracas,CCS,T98821,Landed,Turpial Airlines
11/28/2022,FlightRadar24,CO,Bogota,BOG,VE,Caracas,CCS,VE,Caracas,CCS,T98821,Landed,Turpial Airlines
12/26/2022,FlightRadar24,CO,Bogota,BOG,VE,Caracas,CCS,VE,Caracas,CCS,T98821,Landed,Turpial Airlines
2/4/2023,FlightRadar24,CO,Bogota,BOG,VE,Caracas,CCS,VE,Caracas,CCS,T98821,Landed,Turpial Airlines
4/3/2023,FlightRadar24,CO,Bogota,BOG,VE,Caracas,CCS,VE,Caracas,CCS,T98821,Landed,Turpial Airlines
1/21/2023,FlightRadar24,CO,Bogota,BOG,VE,Caracas,CCS,VE,Caracas,CCS,T98821,Landed,Turpial Airlines
12/10/2022,FlightRadar24,CO,Bogota,BOG,VE,Caracas,CCS,VE,Caracas,CCS,T98821,Landed,Turpial Airlines
12/3/2022,FlightRadar24,CO,Bogota,BOG,VE,Caracas,CCS,VE,Caracas,CCS,T98821,Landed,Turpial Airlines
3/20/2023,FlightRadar24,CO,Bogota,BOG,VE,Caracas,CCS,VE,Caracas,CCS,T98821,Landed,Turpial Airlines
11/19/2022,FlightRadar24,CO,Bogota,BOG,VE,Caracas,CCS,VE,Caracas,CCS,T98821,Landed,Turpial Airlines
1/14/2023,FlightRadar24,CO,Bogota,BOG,VE,Caracas,CCS,VE,Caracas,CCS,T98821,Landed,Turpial Airlines
12/23/2022,FlightRadar24,CO,Bogota,BOG,VE,Caracas,CCS,VE,Caracas,CCS,T98821,Landed,Turpial Airlines
3/9/2023,FlightRadar24,CO,Bogota,BOG,VE,Caracas,CCS,VE,Caracas,CCS,T98821,Landed,Turpial Airlines
3/2/2023,FlightRadar24,CO,Bogota,BOG,VE,Caracas,CCS,VE,Caracas,CCS,T98821,Landed,Turpial Airlines
2/9/2023,FlightRadar24,CO,Bogota,BOG,VE,Caracas,CCS,VE,Caracas,CCS,T98821,Landed,Turpial Airlines
3/6/2023,FlightRadar24,CO,Bogota,BOG,VE,Caracas,CCS,VE,Caracas,CCS,T98821,Landed,Turpial Airlines
2/23/2023,FlightRadar24,CO,Bogota,BOG,VE,Caracas,CCS,VE,Caracas,CCS,T98821,Landed,Turpial Airlines
2/2/2023,FlightRadar24,CO,Bogota,BOG,VE,Caracas,CCS,VE,Caracas,CCS,T98821,Landed,Turpial Airlines
1/2/2023,FlightRadar24,CO,Bogota,BOG,VE,Caracas,CCS,VE,Caracas,CCS,T98821,Landed,Turpial Airlines
2/20/2023,FlightRadar24,CO,Bogota,BOG,VE,Caracas,CCS,VE,Caracas,CCS,T98821,Landed,Turpial Airlines
1/30/2023,FlightRadar24,CO,Bogota,BOG,VE,Caracas,CCS,VE,Caracas,CCS,T98821,Landed,Turpial Airlines
1/23/2023,FlightRadar24,CO,Bogota,BOG,VE,Caracas,CCS,VE,Caracas,CCS,T98821,Landed,Turpial Airlines
3/27/2023,FlightRadar24,CO,Bogota,BOG,VE,Caracas,CCS,VE,Caracas,CCS,T98821,Landed,Turpial Airlines
2/16/2023,FlightRadar24,CO,Bogota,BOG,VE,Caracas,CCS,VE,Caracas,CCS,T98821,Landed,Turpial Airlines
2/13/2023,FlightRadar24,CO,Bogota,BOG,VE,Caracas,CCS,VE,Caracas,CCS,T98821,Landed,Turpial Airlines
12/12/2022,FlightRadar24,CO,Bogota,BOG,VE,Caracas,CCS,VE,Caracas,CCS,T98821,Landed,Turpial Airlines
2/6/2023,FlightRadar24,CO,Bogota,BOG,VE,Caracas,CCS,VE,Caracas,CCS,T98821,Landed,Turpial Airlines
1/9/2023,FlightRadar24,CO,Bogota,BOG,VE,Caracas,CCS,VE,Caracas,CCS,T98821,Landed,Turpial Airlines
1/16/2023,FlightRadar24,CO,Bogota,BOG,VE,Caracas,CCS,VE,Caracas,CCS,T98821,Landed,Turpial Airlines
12/19/2022,FlightRadar24,CO,Bogota,BOG,VE,Caracas,CCS,VE,Caracas,CCS,T98821,Landed,Turpial Airlines
4/13/2023,FlightRadar24,CO,Bogota,BOG,VE,Caracas,CCS,,,,IB9701,Scheduled,Iberia
4/12/2023,FlightRadar24,CO,Bogota,BOG,VE,Caracas,CCS,,,,IB9701,Scheduled,Iberia
4/11/2023,FlightRadar24,CO,Bogota,BOG,VE,Caracas,CCS,,,,IB9701,Scheduled,Iberia
4/10/2023,FlightRadar24,CO,Bogota,BOG,VE,Caracas,CCS,,,,IB9701,Scheduled,Iberia
4/9/2023,FlightRadar24,CO,Bogota,BOG,VE,Caracas,CCS,,,,IB9701,Scheduled,Iberia
4/8/2023,FlightRadar24,CO,Bogota,BOG,VE,Caracas,CCS,,,,IB9701,Scheduled,Iberia
4/7/2023,FlightRadar24,CO,Bogota,BOG,VE,Caracas,CCS,,,,IB9701,Scheduled,Iberia
4/6/2023,FlightRadar24,CO,Bogota,BOG,VE,Caracas,CCS,,,,IB9701,Scheduled,Iberia
4/13/2023,FlightRadar24,CO,Bogota,BOG,VE,Caracas,CCS,,,,P57066,Scheduled,Wingo
4/11/2023,FlightRadar24,CO,Bogota,BOG,VE,Caracas,CCS,,,,P57066,Scheduled,Wingo
4/7/2023,FlightRadar24,CO,Bogota,BOG,VE,Caracas,CCS,,,,P57066,Scheduled,Wingo
4/6/2023,FlightRadar24,CO,Bogota,BOG,VE,Caracas,CCS,,,,P57066,Scheduled,Wingo
4/13/2023,FlightRadar24,CO,Bogota,BOG,VE,Caracas,CCS,,,,QL2981,Scheduled,Laser Airlines
4/12/2023,FlightRadar24,CO,Bogota,BOG,VE,Caracas,CCS,,,,QL2981,Scheduled,Laser Airlines
4/10/2023,FlightRadar24,CO,Bogota,BOG,VE,Caracas,CCS,,,,QL2981,Scheduled,Laser Airlines
4/9/2023,FlightRadar24,CO,Bogota,BOG,VE,Caracas,CCS,,,,QL2981,Scheduled,Laser Airlines
4/8/2023,FlightRadar24,CO,Bogota,BOG,VE,Caracas,CCS,,,,QL2981,Scheduled,Laser Airlines
4/7/2023,FlightRadar24,CO,Bogota,BOG,VE,Caracas,CCS,,,,QL2981,Scheduled,Laser Airlines
4/6/2023,FlightRadar24,CO,Bogota,BOG,VE,Caracas,CCS,,,,QL2981,Scheduled,Laser Airlines
4/13/2023,FlightRadar24,CO,Bogota,BOG,VE,Caracas,CCS,,,,T9723,Scheduled,Turpial Airlines
4/10/2023,FlightRadar24,CO,Bogota,BOG,VE,Caracas,CCS,,,,T9723,Scheduled,Turpial Airlines
4/8/2023,FlightRadar24,CO,Bogota,BOG,VE,Caracas,CCS,,,,T9723,Scheduled,Turpial Airlines
4/6/2023,FlightRadar24,CO,Bogota,BOG,VE,Caracas,CCS,,,,T9723,Scheduled,Turpial Airlines
4/13/2023,FlightRadar24,CO,Bogota,BOG,VE,Caracas,CCS,,,,T98821,Scheduled,Turpial Airlines
4/12/2023,FlightRadar24,CO,Bogota,BOG,VE,Caracas,CCS,,,,T98821,Scheduled,Turpial Airlines
4/10/2023,FlightRadar24,CO,Bogota,BOG,VE,Caracas,CCS,,,,T98821,Scheduled,Turpial Airlines
4/8/2023,FlightRadar24,CO,Bogota,BOG,VE,Caracas,CCS,,,,T98821,Scheduled,Turpial Airlines
4/6/2023,FlightRadar24,CO,Bogota,BOG,VE,Caracas,CCS,,,,T98821,Scheduled,Turpial Airlines
4/5/2023,FlightRadar24,CO,Bogota,BOG,VE,Caracas,CCS,,,,T98821,Scheduled,Turpial Airlines
4/12/2023,FlightRadar24,CO,Bogota,BOG,VE,Valencia,VLN,,,,T98831,Scheduled,Turpial Airlines
4/10/2023,FlightRadar24,CO,Bogota,BOG,VE,Valencia,VLN,,,,T98831,Scheduled,Turpial Airlines
7/5/2014,FlightAware,CO,Bogota,BOG,VE,Caracas,CCS,,,,AV80,Unknown,Avianca
4/5/2023,FlightRadar24,CO,Bogota,BOG,VE,Caracas,CCS,,,,IB9701,Unknown,Iberia
3/14/2023,FlightRadar24,CO,Bogota,BOG,VE,Caracas,CCS,,,,IB9701,Unknown,Iberia
